filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,label
0284.wav,0.386674553155899,0.0293835699558258,1225.0192931256447,1665.1401822597072,2205.9858574924697,0.0500223550451807,-404.0567932128906,123.78623962402344,8.928247451782227,19.683320999145508,-1.359868049621582,-0.2152595072984695,-11.29631233215332,-12.89770221710205,-15.70859718322754,-14.613194465637209,-15.897647857666016,-6.1773858070373535,-7.488589286804199,/content/drive/MyDrive/VoiceShieldDataset/ProcessedDataset/ThreatData/WAV_final/0284.wav
0285.wav,0.3863174319267273,0.0260233003646135,1367.6110137728583,1719.643952825964,2318.374345887382,0.0623986586084905,-418.6575012207031,112.34795379638672,19.050704956054688,19.24669075012207,1.2261335849761963,1.9237003326416016,-11.271538734436035,-14.089394569396973,-18.87059593200684,-15.725780487060549,-15.260132789611816,-5.769761562347412,-7.33537483215332,/content/drive/MyDrive/VoiceShieldDataset/ProcessedDataset/ThreatData/WAV_final/0285.wav
0286.wav,0.3788740336894989,0.0276956502348184,1439.566809471935,1785.8250659465666,2686.072512707078,0.0687005835843373,-402.853271484375,105.89181518554688,14.659204483032228,18.686603546142575,-5.765984058380127,4.436637878417969,-0.4671498835086822,-15.87868595123291,-16.154735565185547,-9.842570304870604,-12.959028244018556,-8.686702728271484,-6.713859081268311,/content/drive/MyDrive/VoiceShieldDataset/ProcessedDataset/ThreatData/WAV_final/0286.wav
0287.wav,0.3722396194934845,0.0224243886768817,1290.8641938128158,1803.6610825515072,2542.9934582078317,0.0458866716867469,-426.9398193359375,111.99549102783205,22.28650665283203,21.629602432250977,0.6943033933639526,6.483352184295654,-3.4143898487091064,-13.434024810791016,-15.002262115478516,-11.482939720153809,-13.211466789245604,-6.688077449798584,-5.732843399047852,/content/drive/MyDrive/VoiceShieldDataset/ProcessedDataset/ThreatData/WAV_final/0287.wav
0288.wav,0.4298771917819977,0.0318176820874214,1586.090942843318,1865.9921910582807,3339.332819559488,0.065488516566265,-370.9157409667969,99.10725402832033,7.306797027587891,26.85870361328125,-2.486910104751587,-6.998871803283691,-6.310314655303955,-14.977115631103516,-19.06279754638672,-15.870349884033203,-19.14571952819824,-6.219707489013672,-2.282526016235352,/content/drive/MyDrive/VoiceShieldDataset/ProcessedDataset/ThreatData/WAV_final/0288.wav
0289.wav,0.3880879282951355,0.0309448670595884,1350.1227328340517,1803.627092077372,2575.682417168675,0.0539286050451807,-413.86517333984375,99.87506866455078,26.46067237854004,17.20230484008789,-12.585193634033203,2.381701707839966,4.344243049621582,-8.241025924682617,-25.671987533569336,-17.895078659057617,-13.91139793395996,-8.295572280883789,-6.125443935394287,/content/drive/MyDrive/VoiceShieldDataset/ProcessedDataset/ThreatData/WAV_final/0289.wav
0290.wav,0.411592036485672,0.037952784448862,1459.980236997744,1720.0307661679497,2767.197552849265,0.0638786764705882,-348.64892578125,112.80664825439452,4.940445423126221,17.215185165405273,-14.085244178771973,0.1044103130698204,4.928831577301025,-22.560626983642575,-21.85377693176269,-12.409300804138184,-13.319578170776367,-10.330767631530762,-8.593440055847168,/content/drive/MyDrive/VoiceShieldDataset/ProcessedDataset/ThreatData/WAV_final/0290.wav
0291.wav,0.3763949871063232,0.0347536467015743,1673.097421833157,1852.4941066794995,3103.894484186747,0.0731892413403614,-375.508544921875,104.1132583618164,2.533230781555176,25.674203872680664,-6.896378517150879,4.895496845245361,5.084875583648682,-22.408424377441406,-22.81044006347656,-8.252830505371094,-13.756184577941896,-13.661693572998049,-10.924912452697754,/content/drive/MyDrive/VoiceShieldDataset/ProcessedDataset/ThreatData/WAV_final/0291.wav
0292.wav,0.379659354686737,0.0404144041240215,1679.6032943940704,1871.0207895471135,3153.257123161765,0.0754415047268907,-330.43560791015625,110.03937530517578,-2.464501142501831,19.21047592163086,-8.054906845092773,-2.2318599224090576,1.2530556917190552,-23.81615829467773,-21.420040130615234,-8.335139274597168,-11.687699317932127,-9.471661567687988,-7.337916374206543,/content/drive/MyDrive/VoiceShieldDataset/ProcessedDataset/ThreatData/WAV_final/0292.wav
0293.wav,0.399757832288742,0.0460090450942516,1699.6602127041845,1835.3035935780515,3184.398501387266,0.0801922094042056,-334.4313659667969,102.28201293945312,-0.2229922264814376,28.24555015563965,-9.92222785949707,-0.0375320725142955,-0.59870845079422,-24.50316429138184,-24.002914428710938,-8.017732620239258,-12.550492286682127,-11.82675075531006,-9.631718635559082,/content/drive/MyDrive/VoiceShieldDataset/ProcessedDataset/ThreatData/WAV_final/0293.wav
0294.wav,0.4299751818180084,0.0272547416388988,1821.7664526601232,1856.9645103885211,3406.3520011255296,0.0947472523834745,-357.6278991699219,107.98487854003906,-2.567920207977295,28.03323173522949,-12.507994651794434,4.0191521644592285,1.088071584701538,-33.44758605957031,-21.43567276000977,-10.885293006896973,-13.63189697265625,-4.666483879089356,-8.554224967956543,/content/drive/MyDrive/VoiceShieldDataset/ProcessedDataset/ThreatData/WAV_final/0294.wav
